French,English
venez,come
rester,stay
ville,city
fini,finished
nouveau,new
eux,them
truc,thing
tiens,like
yeux,eyes
mois,month
mec,guy
longtemps,long time
police,police
seulement,only
heures,hours
eau,water
car,because
super,great
chaque,each
cas,case
vont,will
terre,Earth
place,square
main,hand
ensemble,together
type,type
pardon,sorry
vers,towards
aucun,none
guerre,war
trouve,find
partie,part
prie,pray
devant,in front of
compris,including
arrivé,come
leurs,their
étaient,were
mettre,to put
matin,morning
aide,help
genre,kind
fin,end
jeune,young
chérie,sweetheart
premier,first
attendez,wait
enfant,child
donne,given
aimerais,would like to
côté,side
donner,give
devrais,should
laisser,let
feu,fire
jouer,to play
train,train
gros,large
compte,account
s,s
savais,knew
mourir,die
pouvoir,power
regardez,look
parlé,spoken
donné,given
première,first
aura,will have
dernière,latest
minutes,minutes
mari,husband
enfin,finally
madame,Mrs
devrait,should
mis,placed
fort,strong
pourrais,could
