French,English
venez,come
rester,stay
frère,brother
ville,city
fini,finished
nouveau,new
eux,them
truc,thing
tiens,like
yeux,eyes
mois,month
laisse,leash
mec,guy
longtemps,long time
belle,beautiful
police,police
seulement,only
importe,matter
heures,hours
eau,water
car,because
super,great
chaque,each
cas,case
vont,will
tué,kill
terre,Earth
place,square
main,hand
ensemble,together
type,type
beau,beautiful
pardon,sorry
vers,towards
aucun,none
guerre,war
trouve,find
partie,part
suite,after
prie,pray
devant,in front of
compris,including
arrivé,come
mme,Mrs
leurs,their
étaient,were
mettre,to put
matin,morning
aide,help
dessus,above
sois,am
genre,kind
fin,end
perdu,lost
jeune,young
chérie,sweetheart
premier,first
attendez,wait
enfant,child
donne,given
venu,came
aimerais,would like to
droit,law
côté,side
chambre,bedroom
loin,far
donner,give
devrais,should
laisser,let
feu,fire
jouer,to play
ie,ie
train,train
gros,large
compte,account
s,s
savais,knew
mourir,die
pouvoir,power
regardez,look
parlé,spoken
donné,given
première,first
aura,will have
dernière,latest
minutes,minutes
aucune,any/none
mari,husband
enfin,finally
madame,Mrs
façon,way
devrait,should
mis,placed
film,movie
femmes,women
fort,strong
pourrais,could
écoute,listening
pays,country
votre,your
